,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
21,33358,0.38,223,92,-73.85081,40.72834,QN,1960,0,residential,12684,1
26,49776,0.05,182,104,-73.83135,40.71335,QN,1960,0,commercial,2448,1
54,177959,0.02,71,12,-73.94739,40.76373,MN,1960,0,commercial,4160,1
133,29285,0.29,70,62,-73.8357,40.72077,QN,1930,0,residential,8406,1
140,163605,0.05,103,56,-73.82459,40.74697,QN,1930,0,residential,8324,1
141,108557,0.22,194,9,-73.83522,40.75695,QN,1990,0,residential,23421,1
159,87895,0.07,103,17,-73.85142,40.74705,QN,1930,0,commercial,6555,1
202,26427,0.23,67,71,-73.83539,40.71979,QN,1930,0,residential,6197,1
267,57157,0.02,281,121,-73.82722,40.71189,QN,1900,0,residential,1368,1
270,162276,0.05,79,13,-73.83997,40.77192,QN,1990,0,commercial,8915,1
281,16739,0.05,104,65,-73.79145,40.70907,QN,1960,0,residential,888,1
364,104089,0.12,185,22,-73.83515,40.75746,QN,1990,0,residential,12907,1
389,5853,0.44,17,14,-73.80766,40.66092,QN,1900,0,residential,2575,1
397,87601,0.15,117,14,-73.82138,40.58584,QN,1960,0,commercial,13282,1
404,112685,0.09,35,12,-73.88361,40.824,BX,1960,1,residential,10032,1
438,100651,0.12,46,18,-73.94453,40.75095,QN,1930,1,residential,11895,1
500,20492,0.06,239,7,-73.75148,40.59423,QN,1960,0,residential,1302,1
507,47591,0.13,239,7,-73.7522,40.59428,QN,1960,0,industrial,5957,1
510,12207,0.12,239,7,-73.7521,40.59391,QN,1960,0,residential,1456,1
515,21675,0.04,241,7,-73.75292,40.59421,QN,1960,0,residential,914,1
526,50858,0.04,47,21,-73.86328,40.73269,QN,1990,0,residential,2176,1
527,23980,0.12,52,49,-73.76503,40.70322,QN,1930,1,commercial,2787,1
548,115176,0.05,82,27,-73.92364,40.82216,BX,1990,0,residential,5852,1
563,280739,0.03,79,13,-73.84498,40.75786,QN,1990,1,residential,9075,1
615,70910,0.15,35,14,-73.95274,40.75167,QN,1960,1,commercial,10351,1
653,16035,0.06,37,18,-73.86563,40.7317,QN,1930,1,residential,1019,1
691,178941,0.0,76,48,-73.79531,40.70178,QN,1960,0,residential,722,1
696,10766,0.2,40,65,-73.81652,40.70537,QN,1850,0,commercial,2155,1
702,133265,0.11,48,20,-73.85659,40.82161,BX,1960,1,commercial,15220,1
721,5577,0.15,31,28,-73.75132,40.60251,QN,1930,1,residential,829,1
