building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_5
14057,59,BK,1900,public,971,0
4463,13,MN,1900,commercial,696,3
13217,93,MN,1900,commercial,293,3
4311,99,MN,1900,commercial,759,3
35891,206,BX,1990,commercial,7204,1
1124,54,MN,1900,residential,155,3
5813,118,MN,1900,commercial,147,3
4939,66,MN,1960,commercial,215,3
2200,61,MN,1990,commercial,230,3
1130,54,MN,1900,residential,238,3
86153,568,MN,1960,commercial,2010,1
1615,46,MN,1900,residential,262,3
8404,230,MN,1930,residential,161,3
29374,410,MN,1990,commercial,1237,1
21232,210,MN,1960,residential,353,3
21270,58,BX,1990,industrial,2010,0
50596,36,BK,1990,residential,2295,0
1166,29,BX,1900,residential,639,0
22367,48,BK,1990,residential,931,0
13242,39,BK,1930,industrial,2807,0
33358,223,QN,1960,residential,12684,4
1513,78,MN,1990,residential,188,3
22260,253,BK,1960,residential,949,1
11437,44,BX,1850,residential,6256,0
12738,91,MN,1900,commercial,2250,3
49776,182,QN,1960,commercial,2448,1
14854,85,BX,1990,residential,2976,0
4868,38,MN,1900,commercial,1243,3
30356,181,MN,1900,commercial,5661,3
2371,80,MN,1990,commercial,180,3
46630,41,BK,1990,residential,4160,0
8081,144,MN,1960,residential,1594,3
53638,25,BK,1930,industrial,24015,4
46505,37,BK,1990,public,11084,4
47633,609,MN,1990,industrial,2634,1
11177,173,MN,1990,commercial,1081,3
7257,83,MN,1990,commercial,469,3
47544,70,BK,1990,residential,1837,0
10454,87,MN,1900,industrial,191,3
36935,168,MN,1990,industrial,4517,1
14749,230,MN,1990,commercial,4277,1
51609,143,MN,1990,residential,4237,3
13488,41,BX,1930,commercial,6643,0
15623,203,MN,1900,industrial,603,3
12549,210,MN,1930,residential,837,3
1233,55,MN,1900,residential,133,3
11745,32,BX,1850,residential,1445,0
14160,240,MN,1990,industrial,2103,1
5127,173,MN,1930,commercial,514,3
2197,54,MN,1900,residential,800,3
62987,80,MN,1990,residential,6416,2
8645,136,MN,1990,public,742,3
177959,71,MN,1960,commercial,4160,2
3370,28,BX,1960,residential,1794,0
2776,64,MN,1900,residential,1535,3
10912,96,BK,1990,commercial,3303,0
22732,183,MN,1990,residential,5268,3
10791,149,MN,1900,residential,411,3
11265,60,MN,1930,commercial,909,3
29208,98,BX,1930,residential,3331,0
30171,356,MN,1990,residential,4479,1
9379,189,MN,1990,commercial,670,3
16159,87,MN,1900,residential,519,3
30685,269,MN,1930,commercial,6957,1
37569,31,BK,1900,commercial,8317,0
63467,35,MN,1990,industrial,25420,4
34643,213,MN,1990,public,2732,1
20925,181,MN,1930,commercial,5869,3
11086,20,MN,1930,residential,932,3
23147,18,MN,1930,residential,6410,3
1612,53,MN,1900,residential,486,3
11733,55,BX,1900,residential,1914,0
18241,101,MN,1900,residential,1374,3
1413,23,BK,1900,commercial,788,0
1044,31,MN,1850,residential,425,3
15968,161,MN,1990,residential,7073,3
13084,24,SI,1930,residential,1019,0
22597,113,MN,1990,commercial,1589,3
26198,249,MN,1990,commercial,1854,1
1779,49,MN,1900,commercial,135,3
1669,62,MN,1900,residential,612,3
5946,86,MN,1900,public,244,3
27743,355,MN,1930,industrial,975,1
1626,44,MN,1900,residential,202,3
24267,299,MN,1900,residential,1886,1
6938,83,BX,1990,commercial,1380,0
66508,328,MN,1990,residential,3798,1
23032,53,MN,1990,commercial,4603,3
23767,384,MN,1990,commercial,4321,1
48599,467,QN,1990,commercial,9109,1
4169,72,BX,1990,industrial,1329,0
33425,89,BK,1930,residential,2412,0
2361,41,MN,1900,industrial,564,3
1031,31,BK,1900,commercial,779,0
10128,101,MN,1900,residential,853,3
1670,58,BX,1990,residential,1232,0
1414,41,BK,1990,residential,98,0
5647,89,MN,1900,residential,2748,3
12154,20,BK,1930,commercial,9743,0
10531,77,MN,1930,industrial,1062,3
1407,59,BX,1990,industrial,272,0
4302,48,BK,1900,residential,1201,0
16322,284,MN,1990,industrial,6688,1
30457,93,BX,1990,residential,4805,0
9654,69,MN,1990,residential,6043,3
15668,146,MN,1990,residential,810,3
1709,59,BX,1990,residential,230,0
2389,71,BX,1990,residential,1415,0
8567,173,MN,1900,residential,1742,3
2343,51,BX,1990,residential,1600,0
5771,146,MN,1990,residential,578,3
145737,714,MN,1990,residential,4848,2
57327,38,BK,1930,commercial,4622,0
592,18,BK,1800,industrial,224,0
62952,245,MN,1930,residential,545,1
2493,67,MN,1900,industrial,778,3
6076,107,BX,1990,commercial,1482,0
7777,217,MN,1990,residential,303,3
4886,47,SI,1990,commercial,2035,0
1467,46,BK,1990,commercial,320,0
2214,57,BX,1990,residential,1601,0
10520,60,BX,1900,residential,691,0
10996,103,BX,1990,residential,1198,0
81471,442,MN,1930,residential,5171,1
6959,147,QN,1990,commercial,1419,0
19139,51,BX,1990,industrial,3511,0
46819,35,BX,1960,residential,4420,0
2103,100,MN,1900,public,60,3
8384,73,BX,1990,residential,2810,0
44246,297,BK,1960,residential,8855,1
29285,70,QN,1930,residential,8406,0
20300,19,MN,1900,residential,3950,3
