,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
0,14057,0.07,59,90,-73.93491,40.67389,BK,1900,1,public,971,4
1,4463,0.16,13,21,-73.99982,40.73481,MN,1900,0,commercial,696,3
2,13217,0.02,93,7,-74.00906,40.7248,MN,1900,0,commercial,293,3
3,4311,0.18,99,21,-74.00836,40.71595,MN,1900,0,commercial,759,3
4,35891,0.2,206,10,-73.91227,40.81906,BX,1990,1,commercial,7204,2
5,1124,0.14,54,62,-73.96282,40.77134,MN,1900,0,residential,155,3
6,5813,0.03,118,13,-74.00885,40.73503,MN,1900,0,commercial,147,3
7,4939,0.04,66,30,-73.9854,40.73294,MN,1960,0,commercial,215,3
8,2200,0.1,61,12,-74.00785,40.72211,MN,1990,0,commercial,230,3
9,1130,0.21,54,62,-73.96287,40.77136,MN,1900,0,residential,238,3
10,152909,0.36,179,90,-73.98513,40.77092,MN,1930,0,commercial,54774,0
11,86153,0.02,568,65,-73.97867,40.76009,MN,1960,0,commercial,2010,5
12,1615,0.16,46,14,-73.97994,40.72744,MN,1900,0,residential,262,3
13,8404,0.02,230,35,-73.96148,40.75658,MN,1930,0,residential,161,3
14,29374,0.04,410,40,-73.99113,40.74436,MN,1990,0,commercial,1237,5
15,21232,0.02,210,12,-74.01624,40.70933,MN,1960,0,residential,353,3
16,21270,0.09,58,66,-73.9002,40.83898,BX,1990,1,industrial,2010,2
17,50596,0.05,36,16,-73.91616,40.62928,BK,1990,1,residential,2295,4
18,1166,0.55,29,71,-73.88793,40.81354,BX,1900,1,residential,639,2
19,22367,0.04,48,4,-73.93909,40.58326,BK,1990,0,residential,931,4
20,13242,0.21,39,13,-73.95866,40.73035,BK,1930,0,industrial,2807,4
21,33358,0.38,223,92,-73.85081,40.72834,QN,1960,0,residential,12684,1
22,1513,0.12,78,10,-73.9775,40.72364,MN,1990,0,residential,188,3
23,22260,0.04,253,54,-73.99122,40.7006,BK,1960,0,residential,949,3
24,11437,0.55,44,50,-73.89891,40.81539,BX,1850,1,residential,6256,2
25,12738,0.18,91,19,-74.00768,40.71654,MN,1900,0,commercial,2250,3
26,49776,0.05,182,104,-73.83135,40.71335,QN,1960,0,commercial,2448,1
27,14854,0.2,85,64,-73.90285,40.88837,BX,1990,0,residential,2976,2
28,4868,0.26,38,14,-74.00796,40.73663,MN,1900,0,commercial,1243,3
29,30356,0.19,181,79,-73.97993,40.76507,MN,1900,1,commercial,5661,3
30,2371,0.08,80,19,-74.00736,40.7165,MN,1990,0,commercial,180,3
31,46630,0.09,41,15,-73.9173,40.6301,BK,1990,1,residential,4160,4
32,8081,0.2,144,52,-73.98056,40.78563,MN,1960,1,residential,1594,3
33,53638,0.45,25,70,-73.96419,40.65729,BK,1930,1,industrial,24015,0
34,46505,0.24,37,18,-73.99213,40.70289,BK,1990,0,public,11084,4
35,47633,0.06,609,25,-73.99449,40.75899,MN,1990,0,industrial,2634,5
36,11177,0.1,173,14,-73.99454,40.75628,MN,1990,0,commercial,1081,3
37,7257,0.06,83,20,-73.93918,40.82269,MN,1990,0,commercial,469,3
38,47544,0.04,70,16,-73.96241,40.71829,BK,1990,0,residential,1837,3
39,10454,0.02,87,21,-74.00066,40.7269,MN,1900,0,industrial,191,3
40,36935,0.12,168,8,-74.00533,40.74864,MN,1990,0,industrial,4517,3
41,14749,0.29,230,16,-74.01429,40.7166,MN,1990,1,commercial,4277,3
42,51609,0.08,143,22,-73.94842,40.80101,MN,1990,1,residential,4237,3
43,30570,0.04,222,83,-73.95527,40.77893,MN,1990,0,commercial,1358,5
44,13488,0.49,41,6,-73.9315,40.82441,BX,1930,0,commercial,6643,2
45,15623,0.04,203,97,-73.9713,40.78298,MN,1900,0,industrial,603,3
46,12549,0.07,210,63,-73.96563,40.77381,MN,1930,0,residential,837,3
47,1233,0.11,55,23,-73.99939,40.73606,MN,1900,0,residential,133,3
48,11745,0.12,32,29,-73.90918,40.82825,BX,1850,0,residential,1445,2
49,14160,0.15,240,73,-73.98248,40.77862,MN,1990,0,industrial,2103,3
50,5127,0.1,173,65,-73.96542,40.7742,MN,1930,0,commercial,514,3
51,2197,0.36,54,20,-73.98253,40.73523,MN,1900,0,residential,800,3
52,62987,0.1,80,99,-73.97376,40.78174,MN,1990,0,residential,6416,2
53,8645,0.09,136,9,-74.00815,40.72465,MN,1990,0,public,742,3
54,177959,0.02,71,12,-73.94739,40.76373,MN,1960,0,commercial,4160,1
55,3370,0.53,28,152,-73.91392,40.89442,BX,1960,0,residential,1794,2
56,2776,0.55,64,39,-73.99065,40.74065,MN,1900,1,residential,1535,4
57,10912,0.3,96,53,-73.9958,40.6794,BK,1990,1,commercial,3303,4
58,22732,0.23,183,96,-73.96863,40.79603,MN,1990,0,residential,5268,2
59,10791,0.04,149,33,-73.99483,40.74075,MN,1900,0,residential,411,3
60,11265,0.08,60,18,-73.93939,40.81293,MN,1930,1,commercial,909,3
61,29208,0.11,98,114,-73.88727,40.86823,BX,1930,1,residential,3331,2
62,30171,0.15,356,35,-73.98913,40.7716,MN,1990,0,residential,4479,5
63,9379,0.07,189,21,-73.95366,40.75831,MN,1990,0,commercial,670,3
64,16159,0.03,87,19,-74.005,40.73972,MN,1900,0,residential,519,3
65,30685,0.23,269,53,-73.97294,40.75945,MN,1930,0,commercial,6957,5
66,37569,0.22,31,26,-73.96629,40.7151,BK,1900,0,commercial,8317,4
67,63467,0.4,35,14,-73.92309,40.79931,MN,1990,1,industrial,25420,0
68,34643,0.08,213,22,-73.97693,40.745,MN,1990,0,public,2732,3
69,20925,0.28,181,9,-73.97654,40.72602,MN,1930,0,commercial,5869,3
70,11086,0.08,20,14,-73.95111,40.75948,MN,1930,0,residential,932,3
71,23147,0.28,18,9,-73.97673,40.7258,MN,1930,0,residential,6410,3
72,1612,0.3,53,65,-73.96567,40.77258,MN,1900,0,residential,486,3
73,11733,0.16,55,109,-73.89905,40.85522,BX,1900,1,residential,1914,2
74,18241,0.08,101,35,-73.99456,40.7414,MN,1900,0,residential,1374,3
75,1413,0.56,23,70,-73.99561,40.69392,BK,1900,0,commercial,788,4
76,1044,0.41,31,23,-73.99785,40.73253,MN,1850,0,residential,425,3
77,15968,0.44,161,84,-73.96568,40.79494,MN,1990,0,residential,7073,2
78,13084,0.08,24,13,-74.07463,40.63678,SI,1930,1,residential,1019,4
79,22597,0.07,113,40,-73.98978,40.76676,MN,1990,0,commercial,1589,3
80,26198,0.07,249,40,-73.97365,40.75062,MN,1990,0,commercial,1854,5
81,1779,0.08,49,26,-73.99899,40.72966,MN,1900,0,commercial,135,3
82,1669,0.37,62,7,-73.97615,40.71279,MN,1900,0,residential,612,3
83,5946,0.04,86,42,-73.99419,40.7259,MN,1900,0,public,244,3
84,27743,0.04,355,28,-73.96303,40.75462,MN,1930,0,industrial,975,5
85,1626,0.12,44,18,-74.00572,40.73024,MN,1900,0,residential,202,3
86,24267,0.08,299,9,-74.01086,40.70604,MN,1900,1,residential,1886,3
87,6938,0.2,83,87,-73.92575,40.83384,BX,1990,0,commercial,1380,2
88,66508,0.06,328,10,-74.00349,40.75177,MN,1990,0,residential,3798,5
89,52632,0.01,1408,5,-74.0128,40.71256,MN,1990,0,commercial,788,5
90,23032,0.2,53,5,-74.01389,40.71042,MN,1990,0,commercial,4603,3
91,23767,0.18,384,24,-73.95931,40.75985,MN,1990,0,commercial,4321,5
92,48599,0.19,467,4,-73.94298,40.74852,QN,1990,0,commercial,9109,5
93,4169,0.32,72,80,-73.89147,40.84769,BX,1990,0,industrial,1329,2
94,33425,0.07,89,8,-73.95152,40.71706,BK,1930,0,residential,2412,3
95,2361,0.24,41,30,-73.98755,40.71872,MN,1900,0,industrial,564,3
96,1031,0.76,31,157,-73.97712,40.66538,BK,1900,1,commercial,779,4
97,10128,0.08,101,73,-73.95336,40.81554,MN,1900,0,residential,853,2
98,1670,0.74,58,25,-73.91903,40.85364,BX,1990,0,residential,1232,2
99,1414,0.07,41,92,-73.99237,40.66047,BK,1990,1,residential,98,4
100,5647,0.49,89,27,-73.99771,40.71966,MN,1900,0,residential,2748,3
101,12154,0.8,20,8,-74.01111,40.67389,BK,1930,1,commercial,9743,4
102,10531,0.1,77,6,-74.00649,40.74748,MN,1930,0,industrial,1062,3
103,1407,0.19,59,24,-73.91896,40.85369,BX,1990,0,industrial,272,2
104,4302,0.28,48,64,-73.93694,40.69895,BK,1900,0,residential,1201,4
105,16322,0.41,284,13,-74.01615,40.71665,MN,1990,1,industrial,6688,5
106,30457,0.16,93,104,-73.92,40.84155,BX,1990,0,residential,4805,2
107,9654,0.63,69,14,-73.93766,40.79884,MN,1990,0,residential,6043,2
108,15668,0.05,146,13,-73.97527,40.74387,MN,1990,0,residential,810,3
109,1709,0.13,59,24,-73.91895,40.85377,BX,1990,0,residential,230,2
110,2389,0.59,71,28,-73.91884,40.85386,BX,1990,0,residential,1415,2
111,8567,0.2,173,83,-73.96263,40.77804,MN,1900,0,residential,1742,3
112,2343,0.68,51,32,-73.91868,40.85401,BX,1990,0,residential,1600,2
113,5771,0.1,146,8,-73.94113,40.78862,MN,1990,1,residential,578,3
114,145737,0.03,714,84,-73.9833,40.76811,MN,1990,0,residential,4848,5
115,57327,0.08,38,12,-73.95969,40.73428,BK,1930,1,commercial,4622,4
116,592,0.38,18,64,-73.99399,40.69982,BK,1800,1,industrial,224,4
