green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
971,14057,0.07,1900,59,90,1,BK,-73.93491,40.67389,public
696,4463,0.16,1900,13,21,0,MN,-73.99982,40.73481,commercial
293,13217,0.02,1900,93,7,0,MN,-74.00906,40.7248,commercial
759,4311,0.18,1900,99,21,0,MN,-74.00836,40.71595,commercial
7204,35891,0.2,1990,206,10,1,BX,-73.91227,40.81906,commercial
155,1124,0.14,1900,54,62,0,MN,-73.96282,40.77134,residential
147,5813,0.03,1900,118,13,0,MN,-74.00885,40.73503,commercial
215,4939,0.04,1960,66,30,0,MN,-73.9854,40.73294,commercial
230,2200,0.1,1990,61,12,0,MN,-74.00785,40.72211,commercial
238,1130,0.21,1900,54,62,0,MN,-73.96287,40.77136,residential
54774,152909,0.36,1930,179,90,0,MN,-73.98513,40.77092,commercial
2010,86153,0.02,1960,568,65,0,MN,-73.97867,40.76009,commercial
262,1615,0.16,1900,46,14,0,MN,-73.97994,40.72744,residential
161,8404,0.02,1930,230,35,0,MN,-73.96148,40.75658,residential
1237,29374,0.04,1990,410,40,0,MN,-73.99113,40.74436,commercial
353,21232,0.02,1960,210,12,0,MN,-74.01624,40.70933,residential
2010,21270,0.09,1990,58,66,1,BX,-73.9002,40.83898,industrial
2295,50596,0.05,1990,36,16,1,BK,-73.91616,40.62928,residential
639,1166,0.55,1900,29,71,1,BX,-73.88793,40.81354,residential
931,22367,0.04,1990,48,4,0,BK,-73.93909,40.58326,residential
2807,13242,0.21,1930,39,13,0,BK,-73.95866,40.73035,industrial
12684,33358,0.38,1960,223,92,0,QN,-73.85081,40.72834,residential
188,1513,0.12,1990,78,10,0,MN,-73.9775,40.72364,residential
949,22260,0.04,1960,253,54,0,BK,-73.99122,40.7006,residential
6256,11437,0.55,1850,44,50,1,BX,-73.89891,40.81539,residential
2250,12738,0.18,1900,91,19,0,MN,-74.00768,40.71654,commercial
2448,49776,0.05,1960,182,104,0,QN,-73.83135,40.71335,commercial
2976,14854,0.2,1990,85,64,0,BX,-73.90285,40.88837,residential
1243,4868,0.26,1900,38,14,0,MN,-74.00796,40.73663,commercial
5661,30356,0.19,1900,181,79,1,MN,-73.97993,40.76507,commercial
180,2371,0.08,1990,80,19,0,MN,-74.00736,40.7165,commercial
4160,46630,0.09,1990,41,15,1,BK,-73.9173,40.6301,residential
1594,8081,0.2,1960,144,52,1,MN,-73.98056,40.78563,residential
128158,200331,0.64,1990,137,43,1,BK,-73.97516,40.6826,commercial
24015,53638,0.45,1930,25,70,1,BK,-73.96419,40.65729,industrial
11084,46505,0.24,1990,37,18,0,BK,-73.99213,40.70289,public
2634,47633,0.06,1990,609,25,0,MN,-73.99449,40.75899,industrial
1081,11177,0.1,1990,173,14,0,MN,-73.99454,40.75628,commercial
469,7257,0.06,1990,83,20,0,MN,-73.93918,40.82269,commercial
1837,47544,0.04,1990,70,16,0,BK,-73.96241,40.71829,residential
191,10454,0.02,1900,87,21,0,MN,-74.00066,40.7269,industrial
4517,36935,0.12,1990,168,8,0,MN,-74.00533,40.74864,industrial
4277,14749,0.29,1990,230,16,1,MN,-74.01429,40.7166,commercial
4237,51609,0.08,1990,143,22,1,MN,-73.94842,40.80101,residential
1358,30570,0.04,1990,222,83,0,MN,-73.95527,40.77893,commercial
6643,13488,0.49,1930,41,6,0,BX,-73.9315,40.82441,commercial
603,15623,0.04,1900,203,97,0,MN,-73.9713,40.78298,industrial
837,12549,0.07,1930,210,63,0,MN,-73.96563,40.77381,residential
133,1233,0.11,1900,55,23,0,MN,-73.99939,40.73606,residential
1445,11745,0.12,1850,32,29,0,BX,-73.90918,40.82825,residential
2103,14160,0.15,1990,240,73,0,MN,-73.98248,40.77862,industrial
514,5127,0.1,1930,173,65,0,MN,-73.96542,40.7742,commercial
800,2197,0.36,1900,54,20,0,MN,-73.98253,40.73523,residential
6416,62987,0.1,1990,80,99,0,MN,-73.97376,40.78174,residential
742,8645,0.09,1990,136,9,0,MN,-74.00815,40.72465,public
4160,177959,0.02,1960,71,12,0,MN,-73.94739,40.76373,commercial
1794,3370,0.53,1960,28,152,0,BX,-73.91392,40.89442,residential
1535,2776,0.55,1900,64,39,1,MN,-73.99065,40.74065,residential
3303,10912,0.3,1990,96,53,1,BK,-73.9958,40.6794,commercial
5268,22732,0.23,1990,183,96,0,MN,-73.96863,40.79603,residential
411,10791,0.04,1900,149,33,0,MN,-73.99483,40.74075,residential
909,11265,0.08,1930,60,18,1,MN,-73.93939,40.81293,commercial
3331,29208,0.11,1930,98,114,1,BX,-73.88727,40.86823,residential
4479,30171,0.15,1990,356,35,0,MN,-73.98913,40.7716,residential
670,9379,0.07,1990,189,21,0,MN,-73.95366,40.75831,commercial
519,16159,0.03,1900,87,19,0,MN,-74.005,40.73972,residential
6957,30685,0.23,1930,269,53,0,MN,-73.97294,40.75945,commercial
8317,37569,0.22,1900,31,26,0,BK,-73.96629,40.7151,commercial
25420,63467,0.4,1990,35,14,1,MN,-73.92309,40.79931,industrial
2732,34643,0.08,1990,213,22,0,MN,-73.97693,40.745,public
5869,20925,0.28,1930,181,9,0,MN,-73.97654,40.72602,commercial
932,11086,0.08,1930,20,14,0,MN,-73.95111,40.75948,residential
6410,23147,0.28,1930,18,9,0,MN,-73.97673,40.7258,residential
486,1612,0.3,1900,53,65,0,MN,-73.96567,40.77258,residential
1914,11733,0.16,1900,55,109,1,BX,-73.89905,40.85522,residential
1374,18241,0.08,1900,101,35,0,MN,-73.99456,40.7414,residential
788,1413,0.56,1900,23,70,0,BK,-73.99561,40.69392,commercial
425,1044,0.41,1850,31,23,0,MN,-73.99785,40.73253,residential
7073,15968,0.44,1990,161,84,0,MN,-73.96568,40.79494,residential
1019,13084,0.08,1930,24,13,1,SI,-74.07463,40.63678,residential
1589,22597,0.07,1990,113,40,0,MN,-73.98978,40.76676,commercial
1854,26198,0.07,1990,249,40,0,MN,-73.97365,40.75062,commercial
135,1779,0.08,1900,49,26,0,MN,-73.99899,40.72966,commercial
612,1669,0.37,1900,62,7,0,MN,-73.97615,40.71279,residential
244,5946,0.04,1900,86,42,0,MN,-73.99419,40.7259,public
975,27743,0.04,1930,355,28,0,MN,-73.96303,40.75462,industrial
202,1626,0.12,1900,44,18,0,MN,-74.00572,40.73024,residential
1886,24267,0.08,1900,299,9,1,MN,-74.01086,40.70604,residential
1380,6938,0.2,1990,83,87,0,BX,-73.92575,40.83384,commercial
3798,66508,0.06,1990,328,10,0,MN,-74.00349,40.75177,residential
